NAME,ITER,FVAL
CVXQP1S,27,11590.718119424002
CVXQP2S,27,8120.940477221761
CVXQP3S,22,11943.43220232709
DPKLO1,6,0.3700867031369709
DUAL1,11,0.03501297834335857
DUAL2,9,0.03373367681942472
DUAL3,10,0.1357558395447544
DUAL4,9,0.7460908420285921
DUALC1,145,6155.250829547998
DUALC2,111,3551.307726965084
DUALC5,23,427.2323287539001
DUALC8,44,18309.35896414687
GENHS28,6,0.9271736943597823
HS118,15,664.8204499160518
HS21,10,0.04000000562854533
HS268,14,-14462.999999998809
HS35,7,-8.888888888078336
HS35MOD,13,-8.749999997884744
HS51,0,-6.000000000000004
HS52,5,-0.6733524774876789
HS53,9,-1.9069767469451282
HS76,8,-4.681818181592186
LOTSCHD,13,2398.415868323035
PRIMAL1,16,-0.03501295845108616
PRIMAL2,15,-0.03373367506216226
PRIMALC1,149,-6155.250829849127
PRIMALC2,131,-3551.3076986205365
PRIMALC5,34,-427.23232751838805
QADLITTL,79,480318.85854271613
QAFIRO,15,-1.59078178843296
QBEACONF,34,164712.06014864688
QBRANDY,83,28375.11485655721
QISRAEL,150,1570970.0930885228
QPCBLEND,19,-0.007842529622317067
QPCBOEI2,150,7293554.619088139
QPTEST,9,4.371875000058473
QRECIPE,24,-266.61599997942096
QSC205,19,-0.005813947910784956
QSCAGR7,104,26865948.585838694
QSHARE1B,150,172752.48859951872
QSHARE2B,49,11703.691720805069
S268,14,-14462.999999998809
TAME,6,0
VALUES,14,-1.3966209111688792
ZECEVIC2,9,-4.125000000020882
